t,Antenna ID,Event Code,Device ID,x,y, Tile ID
2220,4,2,44,1769.004785,6757.952509,263
2220,8,2,72,5066.090369,6835.479271,270
2220,6,2,42,3205.272319,7886.414037,306
2220,8,2,74,5013.491356,7220.972134,290
2220,17,2,64,670.980719,9079.943553,361
2220,8,2,94,5008.779808,5887.800412,230
2220,5,2,51,2118.296203,3557.773910,144
2220,3,2,28,1706.306858,4533.673063,183
2220,7,2,53,4312.083369,1969.659951,68
2220,7,2,37,4879.977199,3982.194577,149
2220,2,2,67,182.916560,8017.336519,320
2220,10,2,85,8353.182447,6997.987108,276
2280,8,2,72,5066.090369,6835.479271,270
2280,6,2,61,4301.983312,6433.567226,248
2280,7,2,53,4312.083369,1969.659951,68
2280,3,2,28,1706.306858,4533.673063,183
2280,8,2,94,5008.779808,5887.800412,230
2280,4,2,44,1769.004785,6757.952509,263
2280,10,2,85,8353.182447,6997.987108,276
2280,8,2,74,5013.491356,7220.972134,290
2280,6,2,42,3205.272319,7886.414037,306
2280,7,2,37,4879.977199,3982.194577,149
2280,17,2,64,670.980719,9079.943553,361
2280,22,2,78,8669.829450,4505.662845,197
2280,5,2,51,2118.296203,3557.773910,144
2280,2,2,67,182.916560,8017.336519,320
2340,2,2,67,182.916560,8017.336519,320
2340,7,2,37,4879.977199,3982.194577,149
2340,4,2,44,1769.004785,6757.952509,263
2340,8,2,74,5013.491356,7220.972134,290
2340,8,2,94,5008.779808,5887.800412,230
2340,6,2,42,3205.272319,7886.414037,306
2340,5,2,51,2118.296203,3557.773910,144
2340,6,2,61,4301.983312,6433.567226,248
2340,7,2,53,4312.083369,1969.659951,68
2340,8,2,72,5066.090369,6835.479271,270
2340,10,2,85,8353.182447,6997.987108,276
2340,22,2,78,8669.829450,4505.662845,197
2340,17,2,64,670.980719,9079.943553,361
2340,3,2,28,1706.306858,4533.673063,183
2400,6,2,61,4301.983312,6433.567226,248
2400,5,2,51,2118.296203,3557.773910,144
2400,7,2,37,4879.977199,3982.194577,149
2400,7,2,53,4312.083369,1969.659951,68
2400,22,2,78,8669.829450,4505.662845,197
2400,10,2,85,8353.182447,6997.987108,276
2400,17,2,64,670.980719,9079.943553,361
2400,8,2,94,5008.779808,5887.800412,230
2400,8,2,74,5013.491356,7220.972134,290
2400,6,2,42,3205.272319,7886.414037,306
2400,8,2,72,5066.090369,6835.479271,270
2400,2,2,67,182.916560,8017.336519,320
2400,4,2,44,1769.004785,6757.952509,263
2400,3,2,28,1706.306858,4533.673063,183
2460,2,2,67,182.916560,8017.336519,320
2460,22,2,78,8669.829450,4505.662845,197
2460,6,2,61,4301.983312,6433.567226,248
2460,7,2,37,4879.977199,3982.194577,149
2460,8,2,74,5013.491356,7220.972134,290
2460,17,2,64,670.980719,9079.943553,361
2460,8,2,94,5008.779808,5887.800412,230
2460,10,2,85,8353.182447,6997.987108,276
2460,7,2,53,4312.083369,1969.659951,68
2460,8,2,72,5066.090369,6835.479271,270
2460,4,2,44,1769.004785,6757.952509,263
2460,6,2,42,3205.272319,7886.414037,306
2460,5,2,51,2118.296203,3557.773910,144
2460,3,2,28,1706.306858,4533.673063,183
2520,5,2,51,2118.296203,3557.773910,144
2520,10,2,85,8353.182447,6997.987108,276
2520,4,2,44,1769.004785,6757.952509,263
2520,8,2,74,5013.491356,7220.972134,290
2520,6,2,61,4301.983312,6433.567226,248
2520,7,2,53,4312.083369,1969.659951,68
2520,7,2,37,4879.977199,3982.194577,149
2520,8,2,94,5008.779808,5887.800412,230
2520,8,2,72,5066.090369,6835.479271,270
2520,3,2,28,1706.306858,4533.673063,183
2520,17,2,64,670.980719,9079.943553,361
2520,6,2,42,3205.272319,7886.414037,306
2520,2,2,67,182.916560,8017.336519,320
2520,22,2,78,8669.829450,4505.662845,197
2580,17,2,64,670.980719,9079.943553,361
2580,2,2,67,182.916560,8017.336519,320
2580,3,2,28,1706.306858,4533.673063,183
2580,5,2,51,2118.296203,3557.773910,144
2580,6,2,61,4301.983312,6433.567226,248
2580,8,2,72,5066.090369,6835.479271,270
2580,10,2,85,8353.182447,6997.987108,276
2580,22,2,78,8669.829450,4505.662845,197
2580,7,2,53,4312.083369,1969.659951,68
2580,6,2,42,3205.272319,7886.414037,306
2580,8,2,74,5013.491356,7220.972134,290
2580,4,2,44,1769.004785,6757.952509,263
2580,8,2,94,5008.779808,5887.800412,230
2580,7,2,37,4879.977199,3982.194577,149
2640,3,2,28,1706.306858,4533.673063,183
2640,8,2,94,5008.779808,5887.800412,230
2640,8,2,74,5013.491356,7220.972134,290
2640,6,2,42,3205.272319,7886.414037,306
2640,4,2,44,1769.004785,6757.952509,263
2640,2,2,67,182.916560,8017.336519,320
2640,7,2,53,4312.083369,1969.659951,68
2640,10,2,85,8353.182447,6997.987108,276
2640,6,2,61,4301.983312,6433.567226,248
